date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:15	139309/139309	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/61b16add64373.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/61b16add64373.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:15	46266/46266	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/61ad9d5c5f970.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/61ad9d5c5f970.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:15	29361/29361	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/61a9aae647526.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/61a9aae647526.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:15	101938/101938	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/61a5855324101.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/61a5855324101.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:15	130412/130412	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/61a18c23e6286.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/61a18c23e6286.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:15	37777/37777	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/619f2b853754f.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/619f2b853754f.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:16	866/866	---M--	404	error ('Not%20Found')	text/html	etag:%22278D845C1D14DDC419689E0DA6060454%22	http://resourcewebsite.singoo.cc/robots.txt		(from https://www.sdchinamachine.com/ht15-15t-mini-excavator-16055778408806996.html)
15:56:16	162847/162847	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/6196120ddcd6b.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/6196120ddcd6b.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:16	63845/63845	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/6197562b608fa.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/6197562b608fa.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:16	73865/73865	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/619b39589de25.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/619b39589de25.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:17	110735/110735	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/6192044dd3699.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/6192044dd3699.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
